Timeinterval Start Loc;Timeinterval End Loc;Isp;Quantity Measurement Unit Name;Afrr Down;Afrr Up;Incident Reserve Down;Incident Reserve Up;Absolute Total Volume;Total Volume
01/01/2024 00:00;01/01/2024 00:15;1;kWh;-3235;3196;0;0;6431;-39
01/01/2024 00:15;01/01/2024 00:30;2;kWh;0;2927;0;0;2927;2927
01/01/2024 00:30;01/01/2024 00:45;3;kWh;0;1863;0;0;1863;1863
01/01/2024 00:45;01/01/2024 01:00;4;kWh;0;1892;0;0;1892;1892
01/01/2024 01:00;01/01/2024 01:15;5;kWh;0;12778;0;0;12778;12778
01/01/2024 01:15;01/01/2024 01:30;6;kWh;-210;7630;0;0;7840;7420
01/01/2024 01:30;01/01/2024 01:45;7;kWh;-395;3469;0;0;3864;3074
01/01/2024 01:45;01/01/2024 02:00;8;kWh;-1891;6194;0;0;8085;4303
01/01/2024 02:00;01/01/2024 02:15;9;kWh;-5079;12310;0;0;17389;7231
01/01/2024 02:15;01/01/2024 02:30;10;kWh;-4;6334;0;0;6338;6330
01/01/2024 02:30;01/01/2024 02:45;11;kWh;-319;0;0;0;319;-319
01/01/2024 02:45;01/01/2024 03:00;12;kWh;-350;9805;0;0;10155;9455
01/01/2024 03:00;01/01/2024 03:15;13;kWh;0;2214;0;0;2214;2214
01/01/2024 03:15;01/01/2024 03:30;14;kWh;0;192;0;0;192;192
01/01/2024 03:30;01/01/2024 03:45;15;kWh;-1109;0;0;0;1109;-1109
01/01/2024 03:45;01/01/2024 04:00;16;kWh;-5928;562;0;0;6490;-5366
01/01/2024 04:00;01/01/2024 04:15;17;kWh;-5987;2986;0;0;8973;-3001
01/01/2024 04:15;01/01/2024 04:30;18;kWh;0;0;0;0;0;0
01/01/2024 04:30;01/01/2024 04:45;19;kWh;-202;947;0;0;1149;745
01/01/2024 04:45;01/01/2024 05:00;20;kWh;-394;3;0;0;397;-391
01/01/2024 05:00;01/01/2024 05:15;21;kWh;-7;0;0;0;7;-7
01/01/2024 05:15;01/01/2024 05:30;22;kWh;-1435;0;0;0;1435;-1435
01/01/2024 05:30;01/01/2024 05:45;23;kWh;-909;0;0;0;909;-909
01/01/2024 05:45;01/01/2024 06:00;24;kWh;-707;0;0;0;707;-707
01/01/2024 06:00;01/01/2024 06:15;25;kWh;-610;659;0;0;1269;49
01/01/2024 06:15;01/01/2024 06:30;26;kWh;0;0;0;0;0;0
01/01/2024 06:30;01/01/2024 06:45;27;kWh;0;3648;0;0;3648;3648
01/01/2024 06:45;01/01/2024 07:00;28;kWh;0;15125;0;0;15125;15125
